product_name,brand,category,initial_price,final_price,rating,brand_encoded,category_encoded
Unbeatablesale 32.25 In. W X 8.87 In. H X 1.62 In. P Architectural Accent - Legacy Center Onlay,Unbeatablesale,Wall Decoration,46.8,46.8,0,30,435
"1PC Silk Roses Vine Artificial Flowers Fake Green Leaf Plants Valentine's Day Bride Bouquet For Autumn Decorations Wedding Vase For Home Dining Room Bedroom Decorations, Festival Birthday Party Accessories, Outdoor Garden Decorations",SHEIN,Artificial Flowers,2.3,1.77,0,25,4
Unbeatablesale Suntime Boston College Eagles-Football Helmet Wall Clock,Unbeatablesale,Other Sports Accessories,48.61,48.61,0,30,300
Unbeatablesale KB CR1439 70 X 17 X 17 In. Coat Rack With Storage - Cherry,Unbeatablesale,Coat Racks,175.18,175.18,0,30,68
Unbeatablesale Syracuse Orange Spirit Series Sportula Grill Spatula,Unbeatablesale,Other Sports Accessories,29.74,29.74,0,30,300
1PC Natural Crystal XiuYu Jade Pagoda Hand Carved Figurine Engrgy Stone Quartz Freeform Phantom Tree Carving Crafts Halloween Ornament For Gifts Home Office Desktop Decoration,SHEIN,Table Decorative Ornaments,20.6,19.9,0,25,409
"Sun Protective Anti UV  1pc Summer Sunscreen Breathable Ice Silk Mask, Women Skin Friendly Comfortable Sun Protection Anti-UV Mask Ski Mask,Suitable For Cycling,Riding Motorcycle And Skiing",SHEIN,Cycling Mask & Scarf,1.8,1.37,0,25,94
"144 Pieces Pizza Party Supplies Pack Decorations, Dinnerware Set With Plates, Napkins, Cups, And Cutlery (Serves 24) , Festival, Party , For Halloween Or Christmas Party",SHEIN,Disposable Tableware Sets,38.99,23.49,0,25,119
Unbeatablesale Jacks 10239 Forged 14 In. Nail Clincher,Unbeatablesale,Horse Grooming & Bathing Supplies,38.69,38.69,0,30,190
10 Pcs Bohemian European And American Sports Headbands For Women Wide Yoga Elastic Headbands Running Headbands Sports Hair Accessories Headdresses,SHEIN,Hair Bands,7.8,7.5,0,25,173
Synthetic African Fluffy Drawstring Ponytail Hair Extensions For Women Short African Curling Clip Curly Drawstring Bun (1B ),SHEIN,Synthetic Extensions,14.2,11.01,0,25,403
10pcs Transparent Chocolate Bouquet DIY Packaging Materials Finished Flower Shop Materials Valentine's Day Supplies Chocolate Cup Tray,SHEIN,Other Party Supplies,2.8,2.8,0,25,297
"1 Set,Automatic Watering System Indoor Drip Irrigation System With 10 Heads Plant Watering Unit,Yard And Garden Watering Can For Indoor Outdoor Plants 5.25Ft",SHEIN,Watering Kits,5.7,4.85,0,25,441
"1 Set Of 2 Pieces Mop And Bucket Set With New Separation Of Clean And Dirty Water Design, Household Rotating Mop, Slouchy Mop, Hands-Free Flat Sucker Mop, Suitable For Daily Use",SHEIN,Mops and Mop Sets,74.6,74.6,0,25,273
"1PC Selenite Crystal Pumpkin Ghost Head Carving - Natural Rock Crystal Halloween Decor, Home & Office Ornamental",SHEIN,Crystal Shapes & Carvings,6.9,3.45,0,25,84
"1set-Halloween Party Hanging Swirl Decorations, Bat  Ghost Pumpkin Black Cat Cards Hanging Swirl Party Supplies,Halloween Party Decorations Set For Outdoor Indoor Decor",SHEIN,Party Backdrops,3.8,3.23,0,25,314
"20pcs Purple Disposable Napkins,Flower Shape Table Napkins For Weding Supplies, Party Favors, Hen Party Decorations Birthday And Restaurant",SHEIN,Disposable Napkins,2.6,2.5,0,25,118
"14pcs WHite Hair Beads Accessories For Braids,Star Pearl Small Bear Design Hair Rings Decorations,Women Hair Accessories For Hair And Dreadlocks. Street",SHEIN,Hair Clips,1.4,1.4,0,25,175
"30pcs/Set Minimal Solid Color French Almond Flower Style Full Cover Short False Nails With 1pc Jelly Gel & 1pc Nail File, For Women & Girls Beauty Parties, Dates, Events",SHEIN,Press On False Nails,1.8,1.6,0,25,346
1 Set Halloween Scarecrow Pumpkin Home Bedroom Living Room Decor,SHEIN,Mirror Stickers,3.4,2.72,0,25,271
Unbeatablesale Hydro Air HA104320 Gunite Venturi Tee,Unbeatablesale,Swimming Pools,24.32,24.32,0,30,402
"Jepeak Jepeak Pack Of 4 Rhombus Textured Throw Pillow Covers Cushion Cases, Burlap Linen Decorative Pillow Covers For Sofa Couch Bed Home Decor, 16x24 Inch",Jepeak,Cushion Cover,36.4,26.2,0,12,87
"New Casual Solid Color One Shoulder Bag, Street Style Simple Tote Hand Carry Crossbody Square Bag",SHEIN,Women Top Handle Bags,10.3,9.7,0,25,493
"Unbeatablesale 1.75 In. Clear Gel Floating Candles, Aqua - 12 Piece Per Box",Unbeatablesale,Candles,16.8,16.8,0,30,41
"22LB Life Size Sex Doll Torso, Lifelike Female Sex Doll For Men With Soft Big Boobs Big Butt Pussy Ass, Realistic Sex Dolls Full Size Love Dolls Male Masturbator For Vaginal Anal Breast Sex",SHEIN,Sex Dolls,153.0,95.7,0,25,369
Casual Solid Color Shoulder Bag New Style Handbag Fashion Simple Crossbody Square Bag,SHEIN,Women Top Handle Bags,11.3,10.6,0,25,493
"Unbeatablesale Jgoodin P50180R-V01 Myra Necklace 10 CT Rhodium Necklace, Multi Color",Unbeatablesale,Women Layered Necklaces,23.46,23.46,0,30,477
New Casual Solid Color Shoulder Bag Street Fashion Simple Trendy Crossbody Square Handbag,SHEIN,Women Top Handle Bags,11.7,7.61,0,25,493
30pcs  Ear Plasters Waterproof Correction Ear Surface Ear Flash Ear Face Small Invisible Breathable Skin Friendly Fixed Patch Self Adhesive Patch For Delicate Face,SHEIN,Tool Accessories,2.4,2.1,0,25,421
10pcs Red Satin Chair Sashes Bows Silk Chair Ribbon Ties For Wedding Banquet Party Hotel Event Decorations,SHEIN,Sashes,11.9,10.93,0,25,362
"PHNIBIRD Rectangular Hoop Earrings, Hypoallergenic Material, Minimalist Style, Unisex Design, Fashion Accessory For Daily Wear, Suitable As Birthday, Holiday, Graduation Gifts For Girlfriend, Boyfriend, Friend, Family",SHEIN,Fine Hoop Earrings,9.5,9.5,0,25,144
Unbeatablesale Keeney SD8BRASSNC Shower Drain For 2 In. Sch 40. ABS &Amp; PVC Pipe,Unbeatablesale,Showerheads & Accessories,36.24,36.24,0,30,374
Unbeatablesale Intrend Tile LS014-D Granite Basketweave Pattern Mosaic Blend,Unbeatablesale,Swimming Pools,23.93,23.93,0,30,402
"New Arrival Street Style Casual Solid Color Shoulder Bag, Handbag, Crossbody Bag, Fashionable And Minimalist Small Square Bag",SHEIN,Women Top Handle Bags,11.4,8.55,0,25,493
10pcs Reusable Transparent PET Index Labels - Office Supplies,SHEIN,Sticky Notes,1.5,1.5,0,25,395
"20pairs/Pack Mixed Style Transparent Eyelashes, 8D Fluffy Mink Cat Eye Effect, Transparent Band For More Comfortable And Natural Wear, Extending And Enhancing Outer Eye Corner Beauty Tool, Lightweight And Comfortable, Suitable For Daily Occasions, Work, Holidays And More",SHEIN,False Eyelashes,5.5,4.8,0,25,139
"Unbeatablesale Jacks 10186-PU Cotton Lead Rope, Purple",Unbeatablesale,Horse Grooming & Bathing Supplies,31.1,31.1,0,30,190
"1PC Rocket Shaped Pool Floats For Kids With Water Pistol,Summer Infant Pool Float Beach Toys In Water,Baby Swimming Ring Toddler Floaties With Handle",SHEIN,Children Water Sports,16.0,14.1,0,25,59
"31 Pieces, 10 Inch White Heart-Shaped Latex Balloons With Ribbons, Valentine's Day Decoration, Birthday Decoration, Wedding Decoration, Anniversary Decoration, Theme Event Decoration, Engagement Decoration, Home Decoration, Party Decoration Supplies",SHEIN,Decorative Balloons,2.7,2.3,0,25,98
"New Warm Flip-Cover Thick Fingerless Knitted Gloves, Faux Cashmere, For Winter, Factory",SHEIN,Men Other Gloves,3.6,3.4,0,25,266
"1 Set Sewing Microneedle With 50 Bear Clips And 660 Adhesive Pin Quick Clothing Retentors, Mini Sewing Machine For Quick Attachment Of Clothing Buttons, Handheld Sewing Machine Instant Button Clothing Connector, Durable And Comfortable Clip Kit For Clothing, Quilts, Sheets, Etc",SHEIN,Tag Guns,5.0,4.8,0,25,412
"2024New 18inch Doll Clothes,Fit 38-45 Cm Newborn Dolls And Baby Dolls (Dolls Not Included)",SHEIN,Kids Doll Clothing,5.4,4.84,0,25,212
"Insulated Door Curtain,31.5x83in Winter Doorway Cover Screen, Soundproof Blanket, Privacy Curtains, Noise Reduction Door Cover, Noise Barrier Blanket For Patio Kitchen Bedroom (31.5x83in-Gray)",SHEIN,Japanese Curtains,135.0,67.5,0,25,195
"Unbeatablesale 22 In. W X 22 In. H Round Gable Vent Louver, Decorative",Unbeatablesale,Wall Decoration,73.54,73.54,0,30,435
"Plaid Pattern Shoulder Tote Bag With Bag Charm Handbags for Women, Shoulder Bags Purse Top Handle Hobo Handbag, Large Capacity Purse Satchel Fashionable Tote Bag School Gift, Retro Crossbody Purse Travel Back packs",SHEIN,Women Tote Bags,10.7,8.03,0,25,494
"31.4in Gold Garment Rack Metal Wardrobe Rack With Wheels Closet Hanger Rack For Coats, Shirts, Dress Halloween Decorations Halloween Costumes Autumn Decor Festival Decor",SHEIN,Standard Hanger,59.99,45.6,0,25,388
